hs_code,description,sector
09,Coffee tea mate and spices,agriculture
0801,Coconuts Brazil nuts and cashew nuts fresh or dried,agriculture
080111,Coconuts desiccated,agriculture
080112,Coconuts in the inner shell endocarp,agriculture
080119,Coconuts fresh other,agriculture
0902,Tea whether or not flavoured,agriculture
090210,Green tea not fermented in packings not exceeding 3 kg,agriculture
090220,Green tea not fermented in bulk,agriculture
090230,Black tea fermented in packings not exceeding 3 kg,agriculture
090240,Black tea fermented in bulk,agriculture
0906,Cinnamon and cinnamon-tree flowers,agriculture
090611,Cinnamon Cinnamomum zeylanicum Blume neither crushed nor ground,agriculture
090619,Cinnamon neither crushed nor ground other,agriculture
090620,Cinnamon and cinnamon-tree flowers crushed or ground,agriculture
15,Animal or vegetable fats and oils,agriculture
1513,Coconut copra palm kernel or babassu oil,agriculture
151311,Crude coconut copra oil,agriculture
151319,Coconut copra oil other than crude,agriculture
40,Rubber and articles thereof,agriculture
4001,Natural rubber balata gutta-percha and similar gums,agriculture
400110,Natural rubber latex whether or not prevulcanised,agriculture
400121,Natural rubber smoked sheets,agriculture
400122,Technically specified natural rubber TSNR,agriculture
400129,Natural rubber in other forms,agriculture
53,Other vegetable textile fibres,agriculture
5305,Coconut abaca ramie and other vegetable textile fibres,agriculture
61,Articles of apparel and clothing accessories knitted or crocheted,apparel
6103,Mens or boys suits jackets and trousers knitted,apparel
6104,Womens or girls suits jackets dresses and trousers knitted,apparel
6105,Mens or boys shirts knitted,apparel
6106,Womens or girls blouses and shirts knitted,apparel
6107,Mens or boys underpants pyjamas and bathrobes knitted,apparel
6108,Womens or girls slips briefs nightdresses and bathrobes knitted,apparel
6109,T-shirts singlets and other vests knitted,apparel
6110,Jerseys pullovers cardigans and waistcoats knitted,apparel
6112,Track suits ski suits and swimwear knitted,apparel
6115,Panty hose tights stockings and socks knitted,apparel
62,Articles of apparel and clothing accessories not knitted or crocheted,apparel
6201,Mens or boys overcoats anoraks and windcheaters not knitted,apparel
6202,Womens or girls overcoats anoraks and windcheaters not knitted,apparel
6203,Mens or boys suits jackets and trousers not knitted,apparel
6204,Womens or girls suits jackets dresses and trousers not knitted,apparel
6205,Mens or boys shirts not knitted,apparel
6206,Womens or girls blouses and shirts not knitted,apparel
6207,Mens or boys singlets underpants and pyjamas not knitted,apparel
6208,Womens or girls singlets slips and nightdresses not knitted,apparel
6209,Babies garments and clothing accessories not knitted,apparel
6211,Track suits ski suits and swimwear other garments not knitted,apparel
6212,Brassieres girdles corsets braces and suspenders,apparel
