iso3,region
ABW,Americas
AFG,Asia
AGO,Africa
AIA,Americas
ALA,Europe
ALB,Europe
AND,Europe
ARE,Asia
ARG,Americas
ARM,Asia
ASM,Oceania
ATF,Africa
ATG,Americas
AUS,Oceania
AUT,Europe
AZE,Asia
BDI,Africa
BEL,Europe
BEN,Africa
BES,Americas
BFA,Africa
BGD,Asia
BGR,Europe
BHR,Asia
BHS,Americas
BIH,Europe
BLM,Americas
BLR,Europe
BLZ,Americas
BMU,Americas
BOL,Americas
BRA,Americas
BRB,Americas
BRN,Asia
BTN,Asia
BVT,Americas
BWA,Africa
CAF,Africa
CAN,Americas
CCK,Oceania
CHE,Europe
CHL,Americas
CHN,Asia
CIV,Africa
CMR,Africa
COD,Africa
COG,Africa
COK,Oceania
COL,Americas
COM,Africa
CPV,Africa
CRI,Americas
CUB,Americas
CUW,Americas
CXR,Oceania
CYM,Americas
CYP,Asia
CZE,Europe
DEU,Europe
DJI,Africa
DMA,Americas
DNK,Europe
DOM,Americas
DZA,Africa
ECU,Americas
EGY,Africa
ERI,Africa
ESH,Africa
ESP,Europe
EST,Europe
ETH,Africa
FIN,Europe
FJI,Oceania
FLK,Americas
FRA,Europe
FRO,Europe
FSM,Oceania
GAB,Africa
GBR,Europe
GEO,Asia
GGY,Europe
GHA,Africa
GIB,Europe
GIN,Africa
GLP,Americas
GMB,Africa
GNB,Africa
GNQ,Africa
GRC,Europe
GRD,Americas
GRL,Americas
GTM,Americas
GUF,Americas
GUM,Oceania
GUY,Americas
HKG,Asia
HMD,Oceania
HND,Americas
HRV,Europe
HTI,Americas
HUN,Europe
IDN,Asia
IMN,Europe
IND,Asia
IOT,Africa
IRL,Europe
IRN,Asia
IRQ,Asia
ISL,Europe
ISR,Asia
ITA,Europe
JAM,Americas
JEY,Europe
JOR,Asia
JPN,Asia
KAZ,Asia
KEN,Africa
KGZ,Asia
KHM,Asia
KIR,Oceania
KNA,Americas
KOR,Asia
KWT,Asia
LAO,Asia
LBN,Asia
LBR,Africa
LBY,Africa
LCA,Americas
LIE,Europe
LKA,Asia
LSO,Africa
LTU,Europe
LUX,Europe
LVA,Europe
MAC,Asia
MAF,Americas
MAR,Africa
MCO,Europe
MDA,Europe
MDG,Africa
MDV,Asia
MEX,Americas
MHL,Oceania
MKD,Europe
MLI,Africa
MLT,Europe
MMR,Asia
MNE,Europe
MNG,Asia
MNP,Oceania
MOZ,Africa
MRT,Africa
MSR,Americas
MTQ,Americas
MUS,Africa
MWI,Africa
MYS,Asia
MYT,Africa
NAM,Africa
NCL,Oceania
NER,Africa
NFK,Oceania
NGA,Africa
NIC,Americas
NIU,Oceania
NLD,Europe
NOR,Europe
NPL,Asia
NRU,Oceania
NZL,Oceania
OMN,Asia
PAK,Asia
PAN,Americas
PCN,Oceania
PER,Americas
PHL,Asia
PLW,Oceania
PNG,Oceania
POL,Europe
PRI,Americas
PRK,Asia
PRT,Europe
PRY,Americas
PSE,Asia
PYF,Oceania
QAT,Asia
REU,Africa
ROU,Europe
RUS,Europe
RWA,Africa
SAU,Asia
SDN,Africa
SEN,Africa
SGP,Asia
SGS,Americas
SHN,Africa
SJM,Europe
SLB,Oceania
SLE,Africa
SLV,Americas
SMR,Europe
SOM,Africa
SPM,Americas
SRB,Europe
SSD,Africa
STP,Africa
SUR,Americas
SVK,Europe
SVN,Europe
SWE,Europe
SWZ,Africa
SXM,Americas
SYC,Africa
SYR,Asia
TCA,Americas
TCD,Africa
TGO,Africa
THA,Asia
TJK,Asia
TKL,Oceania
TKM,Asia
TLS,Asia
TON,Oceania
TTO,Americas
TUN,Africa
TUR,Asia
TUV,Oceania
TWN,Asia
TZA,Africa
UGA,Africa
UKR,Europe
UMI,Oceania
URY,Americas
USA,Americas
UZB,Asia
VAT,Europe
VCT,Americas
VEN,Americas
VGB,Americas
VIR,Americas
VNM,Asia
VUT,Oceania
WLF,Oceania
WSM,Oceania
YEM,Asia
ZAF,Africa
ZMB,Africa
ZWE,Africa
